DateBag;Site;ID;Week;Station;TreatmentNr;DateSorting;SorterID;SpeciesTreatmentNr;Species;NbSeedStart;SeedsCount;DamagedSeedsCount;SignsPredation;Notes;
17.10.2024;BEA;SG&JK;2;5;2;21.01.2025;CT;5;Abies alba;25;25;2;Crack;Bug in sample, Part of seeds missing;
17.10.2024;BEA;SG&JK;2;5;2;21.01.2025;CT;5;Picea abies;120;120;0;;Bug in sample;
17.10.2024;BEA;SG&JK;2;5;1;12.02.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;5;1;12.02.2025;CT;5;Picea abies;120;119;0;;;
24.10.2024;BEA;MD;3;5;1;30.10.2024;CW;5;Abies alba;25;25;;;10 mosquitos, 1 spider;
24.10.2024;BEA;MD;3;5;1;30.10.2024;CW;5;Picea abies;120;119;;;;
24.10.2024;BEA;MD;3;5;2;02.11.2024;CW;5;Abies alba;25;25;;;Plus 100 mosquitos;
24.10.2024;BEA;MD;3;5;2;02.11.2024;CW;5;Picea abies;120;120;;;;
10.10.2024;BEA;SG&JK;1;6;1;21.01.2025;CT;5;Abies alba;25;24;1;Crack;Part of seed missing;
10.10.2024;BEA;SG&JK;1;6;1;21.01.2025;CT;5;Picea abies;120;120;0;;2 Bugs in sample;
10.10.2024;BEA;MD&SG;1;6;2;21.01.2025;CT;5;Abies alba;25;25;1;Hole;Ant in sample;
10.10.2024;BEA;MD&SG;1;6;2;21.01.2025;CT;5;Picea abies;120;120;0;;Ant in sample;
17.10.2024;BEA;SG&JK;2;6;2;20.01.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;6;2;20.01.2025;CT;5;Picea abies;120;120;0;;;
17.10.2024;BEA;SG&JK;2;6;1;12.02.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;6;1;12.02.2025;CT;5;Picea abies;120;120;0;;;
24.10.2024;BEA;MD;3;6;1;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;6;1;02.11.2024;CW;5;Picea abies;120;120;;;;
24.10.2024;BEA;MD;3;6;2;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;6;2;02.11.2024;CW;5;Picea abies;120;120;;;;
10.10.2024;BEA;MD&SG;1;7;1;18.02.2025;CT;5;Abies alba;25;24;1;Hole;;
10.10.2024;BEA;MD&SG;1;7;1;18.02.2025;CT;5;Picea abies;120;121;1;Hole;;
10.10.2024;BEA;MD&SG;1;7;2;17.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;7;2;17.02.2025;CT;5;Picea abies;120;122;0;;;
17.10.2024;BEA;SG&JK;2;7;2;20.01.2025;CT;5;Abies alba;25;25;1;;Hole;
17.10.2024;BEA;SG&JK;2;7;2;20.01.2025;CT;5;Picea abies;120;0;0;;;
17.10.2024;BEA;SG&JK;2;7;1;12.02.2025;CT;5;Abies alba;25;25;0;;Several dead ants in sample;
17.10.2024;BEA;SG&JK;2;7;1;12.02.2025;CT;5;Picea abies;120;120;2;Hole;Several dead ants in sample;
24.10.2024;BEA;MD;3;7;1;02.11.2024;CW;5;Abies alba;25;25;;;1 ant;
24.10.2024;BEA;MD;3;7;1;02.11.2024;CW;5;Picea abies;120;120;;;;
24.10.2024;BEA;MD;3;7;2;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;7;2;02.11.2024;CW;5;Picea abies;120;120;1;Crack;2 ants, 10 other insects;
10.10.2024;BEA;SG&JK;1;8;2;21.01.2025;CT;5;Abies alba;25;25;2;Hole and Crack;Bug and ant in sample;
10.10.2024;BEA;SG&JK;1;8;2;21.01.2025;CT;5;Picea abies;120;120;2;Hole and Crack;Bug and ant in sample, Part of 1 seed missing;
10.10.2024;BEA;MD&SG;1;8;1;17.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;8;1;17.02.2025;CT;5;Picea abies;120;119;1;Crack;;
17.10.2024;BEA;SG&JK;2;8;2;20.01.2025;CT;5;Abies alba;25;25;0;;Bug and ant in sample;
17.10.2024;BEA;SG&JK;2;8;2;20.01.2025;CT;5;Picea abies;120;120;0;;Bug and ant in sample;
17.10.2024;BEA;SG&JK;2;8;1;21.01.2025;CT;5;Abies alba;25;25;1;Hole;Bug and ant in sample;
17.10.2024;BEA;SG&JK;2;8;1;21.01.2025;CT;5;Picea abies;120;120;2;Hole and Crack;Bug and ant in sample;
24.10.2024;BEA;MD;3;8;1;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;8;1;02.11.2024;CW;5;Picea abies;120;120;1;Crack;Plus 100 mosquitos;
24.10.2024;BEA;MD;3;8;2;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;8;2;02.11.2024;CW;5;Picea abies;120;120;;;;
10.10.2024;BEA;MD&SG;1;9;1;17.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;9;1;17.02.2025;CT;5;Picea abies;120;120;0;;;
10.10.2024;BEA;MD&SG;1;9;2;17.02.2025;CT;5;Abies alba;25;25;1;Crack;;
10.10.2024;BEA;MD&SG;1;9;2;17.02.2025;CT;5;Picea abies;120;118;0;;;
